district,week,year,disease,cases_reported,district_code,district_name
District_001,1,2025,Malaria,47,D0001,District_001
District_001,2,2025,Chikungunya,198,D0001,District_001
District_001,3,2025,Dengue,280,D0001,District_001
District_001,4,2025,Malaria,166,D0001,District_001
District_001,5,2025,Typhoid,167,D0001,District_001
District_001,6,2025,Hepatitis,21,D0001,District_001
District_001,7,2025,Chikungunya,17,D0001,District_001
District_001,8,2025,Typhoid,87,D0001,District_001
District_001,9,2025,Dengue,101,D0001,District_001
District_001,10,2025,Malaria,259,D0001,District_001
District_001,11,2025,Swine Flu,57,D0001,District_001
District_001,12,2025,Typhoid,12,D0001,District_001
District_001,13,2025,Typhoid,293,D0001,District_001
District_001,14,2025,Typhoid,67,D0001,District_001
District_001,15,2025,Typhoid,26,D0001,District_001
District_001,16,2025,Malaria,237,D0001,District_001
District_001,17,2025,Malaria,166,D0001,District_001
District_001,18,2025,Malaria,60,D0001,District_001
District_001,19,2025,Swine Flu,78,D0001,District_001
District_001,20,2025,Swine Flu,209,D0001,District_001
District_001,21,2025,Malaria,174,D0001,District_001
District_001,22,2025,Dengue,222,D0001,District_001
District_001,23,2025,Hepatitis,167,D0001,District_001
District_001,24,2025,Dengue,84,D0001,District_001
District_001,25,2025,Hepatitis,250,D0001,District_001
District_001,26,2025,Hepatitis,33,D0001,District_001
District_002,1,2025,Hepatitis,287,D0002,District_002
District_002,2,2025,Dengue,61,D0002,District_002
District_002,3,2025,Typhoid,278,D0002,District_002
District_002,4,2025,Dengue,58,D0002,District_002
District_002,5,2025,Typhoid,101,D0002,District_002
District_002,6,2025,Chikungunya,281,D0002,District_002
District_002,7,2025,Swine Flu,36,D0002,District_002
District_002,8,2025,Malaria,167,D0002,District_002
District_002,9,2025,Swine Flu,161,D0002,District_002
District_002,10,2025,Dengue,266,D0002,District_002
District_002,11,2025,Typhoid,103,D0002,District_002
District_002,12,2025,Dengue,30,D0002,District_002
District_002,13,2025,Hepatitis,105,D0002,District_002
District_002,14,2025,Swine Flu,97,D0002,District_002
District_002,15,2025,Dengue,54,D0002,District_002
District_002,16,2025,Swine Flu,270,D0002,District_002
District_002,17,2025,Malaria,88,D0002,District_002
District_002,18,2025,Malaria,195,D0002,District_002
District_002,19,2025,Swine Flu,132,D0002,District_002
District_002,20,2025,Dengue,139,D0002,District_002
District_002,21,2025,Hepatitis,50,D0002,District_002
District_002,22,2025,Chikungunya,137,D0002,District_002
District_002,23,2025,Dengue,299,D0002,District_002
District_002,24,2025,Hepatitis,224,D0002,District_002
District_002,25,2025,Hepatitis,129,D0002,District_002
District_002,26,2025,Hepatitis,208,D0002,District_002
District_003,1,2025,Chikungunya,113,D0003,District_003
District_003,2,2025,Hepatitis,93,D0003,District_003
District_003,3,2025,Malaria,102,D0003,District_003
District_003,4,2025,Malaria,161,D0003,District_003
District_003,5,2025,Swine Flu,277,D0003,District_003
District_003,6,2025,Dengue,170,D0003,District_003
District_003,7,2025,Swine Flu,37,D0003,District_003
District_003,8,2025,Chikungunya,192,D0003,District_003
District_003,9,2025,Swine Flu,97,D0003,District_003
District_003,10,2025,Malaria,131,D0003,District_003
District_003,11,2025,Malaria,105,D0003,District_003
District_003,12,2025,Dengue,227,D0003,District_003
District_003,13,2025,Dengue,34,D0003,District_003
District_003,14,2025,Chikungunya,198,D0003,District_003
District_003,15,2025,Dengue,209,D0003,District_003
District_003,16,2025,Swine Flu,64,D0003,District_003
District_003,17,2025,Dengue,109,D0003,District_003
District_003,18,2025,Dengue,108,D0003,District_003
District_003,19,2025,Hepatitis,192,D0003,District_003
District_003,20,2025,Typhoid,110,D0003,District_003
District_003,21,2025,Typhoid,191,D0003,District_003
District_003,22,2025,Typhoid,241,D0003,District_003
District_003,23,2025,Typhoid,122,D0003,District_003
District_003,24,2025,Dengue,40,D0003,District_003
District_003,25,2025,Typhoid,142,D0003,District_003
District_003,26,2025,Dengue,110,D0003,District_003
District_004,1,2025,Malaria,251,D0004,District_004
District_004,2,2025,Dengue,36,D0004,District_004
District_004,3,2025,Hepatitis,288,D0004,District_004
District_004,4,2025,Chikungunya,92,D0004,District_004
District_004,5,2025,Malaria,184,D0004,District_004
District_004,6,2025,Chikungunya,296,D0004,District_004
District_004,7,2025,Dengue,168,D0004,District_004
District_004,8,2025,Swine Flu,76,D0004,District_004
District_004,9,2025,Swine Flu,112,D0004,District_004
District_004,10,2025,Hepatitis,27,D0004,District_004
District_004,11,2025,Typhoid,177,D0004,District_004
