cases_lag1,rainfall_lag1,humidity_lag1,vaccination_coverage,predicted_risk,district_code,action
230.0,122.88,95.12,94.1,1,D0345,Increase Vaccination Drive
78.0,174.05,49.92,80.18,1,D0105,Increase Vaccination Drive
161.0,149.29,74.02,77.72,1,D0584,Increase Vaccination Drive
169.0,157.68,66.21,65.79,1,D0171,Increase Vaccination Drive
268.0,297.28,94.26,75.6,1,D0664,Increase Vaccination Drive
214.0,51.72,39.73,65.74,1,D0559,Increase Vaccination Drive
227.0,157.89,68.84,80.95,1,D0699,Increase Vaccination Drive
170.0,65.16,76.35,89.18,1,D0221,Increase Vaccination Drive
186.0,287.72,82.26,76.97,1,D0691,Increase Vaccination Drive
123.0,331.68,82.47,77.65,1,D0313,Increase Vaccination Drive
188.0,195.96,77.03,50.3,1,D0155,Increase Vaccination Drive
6.0,272.12,48.03,88.69,1,D0503,Increase Vaccination Drive
245.0,326.37,55.28,71.01,1,D0035,Increase Vaccination Drive
40.0,38.74,72.72,60.88,1,D0459,Increase Vaccination Drive
282.0,234.03,46.83,92.24,1,D0141,Increase Vaccination Drive
186.0,152.29,71.58,54.69,1,D0554,Increase Vaccination Drive
217.0,100.44,78.91,75.98,1,D0504,Increase Vaccination Drive
109.0,168.93,75.39,79.32,1,D0541,Increase Vaccination Drive
233.0,49.0,31.46,72.49,1,D0169,Increase Vaccination Drive
24.0,125.58,90.75,91.74,1,D0151,Increase Vaccination Drive
71.0,372.98,78.3,97.39,1,D0659,Increase Vaccination Drive
161.0,437.0,37.51,67.67,1,D0497,Increase Vaccination Drive
85.0,169.6,51.28,94.1,1,D0345,Increase Vaccination Drive
282.0,378.51,31.76,56.05,1,D0463,Increase Vaccination Drive
143.0,253.09,43.29,85.19,1,D0680,Increase Vaccination Drive
38.0,55.58,72.25,85.86,1,D0714,Increase Vaccination Drive
86.0,65.47,37.59,52.44,1,D0321,Increase Vaccination Drive
276.0,462.37,37.33,84.13,1,D0417,Increase Vaccination Drive
265.0,27.82,53.95,86.89,1,D0458,Increase Vaccination Drive
97.0,291.65,37.47,78.74,1,D0202,Increase Vaccination Drive
281.0,390.39,87.61,71.31,1,D0574,Increase Vaccination Drive
134.0,426.18,39.72,60.42,1,D0413,Increase Vaccination Drive
107.0,310.93,98.95,50.35,1,D0693,Increase Vaccination Drive
221.0,240.36,67.87,56.04,1,D0374,Increase Vaccination Drive
7.0,457.31,39.85,67.73,1,D0298,Increase Vaccination Drive
126.0,472.02,41.99,53.01,1,D0283,Increase Vaccination Drive
108.0,196.07,70.81,78.53,1,D0589,Increase Vaccination Drive
278.0,148.56,34.53,85.06,1,D0534,Increase Vaccination Drive
70.0,159.69,52.64,50.17,1,D0546,Increase Vaccination Drive
223.0,232.36,89.9,92.78,1,D0672,Increase Vaccination Drive
97.0,414.64,85.95,81.59,1,D0087,Increase Vaccination Drive
128.0,176.96,35.22,86.77,1,D0687,Increase Vaccination Drive
149.0,11.86,61.85,52.13,1,D0357,Increase Vaccination Drive
174.0,475.8,93.4,79.64,1,D0437,Increase Vaccination Drive
24.0,288.68,92.49,64.24,1,D0213,Increase Vaccination Drive
157.0,196.22,31.7,95.31,1,D0029,Increase Vaccination Drive
161.0,48.92,99.73,77.37,1,D0014,Increase Vaccination Drive
31.0,64.11,59.0,91.93,1,D0431,Increase Vaccination Drive
101.0,215.16,57.45,95.63,1,D0281,Increase Vaccination Drive
118.0,205.01,68.1,87.61,1,D0275,Increase Vaccination Drive
46.0,151.25,90.57,67.99,1,D0566,Increase Vaccination Drive
39.0,367.22,93.54,64.48,1,D0115,Increase Vaccination Drive
197.0,456.52,78.52,80.19,1,D0175,Increase Vaccination Drive
277.0,154.18,82.98,77.09,1,D0443,Increase Vaccination Drive
105.0,473.56,31.19,88.13,1,D0641,Increase Vaccination Drive
276.0,151.47,36.12,76.12,1,D0113,Increase Vaccination Drive
112.0,156.67,84.06,68.37,1,D0101,Increase Vaccination Drive
196.0,23.67,94.47,77.72,1,D0584,Increase Vaccination Drive
248.0,289.91,86.16,72.97,1,D0205,Increase Vaccination Drive
103.0,58.6,92.61,74.94,1,D0126,Increase Vaccination Drive
23.0,241.84,48.65,66.35,1,D0510,Increase Vaccination Drive
296.0,53.68,67.97,53.16,1,D0368,Increase Vaccination Drive
15.0,308.24,68.27,65.45,1,D0466,Increase Vaccination Drive
175.0,439.71,32.09,58.49,1,D0469,Increase Vaccination Drive
135.0,34.02,38.8,72.48,1,D0211,Increase Vaccination Drive
266.0,399.34,43.5,80.46,1,D0620,Increase Vaccination Drive
227.0,440.13,32.13,97.63,1,D0365,Increase Vaccination Drive
258.0,447.41,86.97,80.94,1,D0051,Increase Vaccination Drive
140.0,265.68,97.58,58.63,1,D0012,Increase Vaccination Drive
198.0,11.28,98.67,83.49,1,D0362,Increase Vaccination Drive
239.0,173.17,73.88,61.54,1,D0032,Increase Vaccination Drive
216.0,449.99,57.52,74.74,1,D0429,Increase Vaccination Drive
86.0,9.18,98.05,56.56,1,D0375,Increase Vaccination Drive
141.0,75.63,94.08,85.99,1,D0236,Increase Vaccination Drive
72.0,148.33,89.65,60.46,1,D0654,Increase Vaccination Drive
81.0,193.89,42.28,73.46,1,D0696,Increase Vaccination Drive
8.0,410.17,54.15,83.61,1,D0530,Increase Vaccination Drive
70.0,93.47,42.59,73.31,1,D0629,Increase Vaccination Drive
143.0,231.97,49.51,96.27,1,D0081,Increase Vaccination Drive
207.0,375.08,59.01,89.99,1,D0246,Increase Vaccination Drive
233.0,404.74,54.03,50.78,1,D0412,Increase Vaccination Drive
142.0,191.89,73.07,88.38,1,D0432,Increase Vaccination Drive
178.0,157.24,95.57,95.6,1,D0442,Increase Vaccination Drive
22.0,280.1,39.89,56.55,1,D0650,Increase Vaccination Drive
68.0,411.31,59.8,90.44,1,D0625,Increase Vaccination Drive
110.0,328.6,50.85,76.86,1,D0341,Increase Vaccination Drive
101.0,219.93,36.99,92.99,1,D0167,Increase Vaccination Drive
295.0,54.4,59.18,90.44,1,D0625,Increase Vaccination Drive
1.0,229.1,79.92,80.26,1,D0245,Increase Vaccination Drive
116.0,69.06,98.78,52.62,1,D0176,Increase Vaccination Drive
233.0,129.95,63.07,64.36,1,D0106,Increase Vaccination Drive
68.0,268.75,59.86,65.04,1,D0305,Increase Vaccination Drive
45.0,90.38,33.53,53.77,1,D0562,Increase Vaccination Drive
11.0,324.08,55.34,87.72,1,D0482,Increase Vaccination Drive
161.0,127.34,88.98,82.51,1,D0069,Increase Vaccination Drive
