district,week,rainfall_mm,humidity,district_code,district_name
District_001,1,187.27,90.58,D0001,District_001
District_001,2,475.36,87.57,D0001,District_001
District_001,3,366.0,38.62,D0001,District_001
District_001,4,299.33,56.19,D0001,District_001
District_001,5,78.01,76.29,D0001,District_001
District_001,6,78.0,75.65,D0001,District_001
District_001,7,29.04,90.22,D0001,District_001
District_001,8,433.09,39.82,D0001,District_001
District_001,9,300.56,60.1,D0001,District_001
District_001,10,354.04,36.81,D0001,District_001
District_001,11,10.29,57.27,D0001,District_001
District_001,12,484.95,31.06,D0001,District_001
District_001,13,416.22,92.88,D0001,District_001
District_001,14,106.17,66.89,D0001,District_001
District_001,15,90.91,89.49,D0001,District_001
District_001,16,91.7,34.19,D0001,District_001
District_001,17,152.12,45.92,D0001,District_001
District_001,18,262.38,48.16,D0001,District_001
District_001,19,215.97,57.07,D0001,District_001
District_001,20,145.61,86.2,D0001,District_001
District_001,21,305.93,57.06,D0001,District_001
District_001,22,69.75,44.33,D0001,District_001
District_001,23,146.07,34.55,D0001,District_001
District_001,24,183.18,35.56,D0001,District_001
District_001,25,228.03,83.2,D0001,District_001
District_001,26,392.59,61.14,D0001,District_001
District_002,1,99.84,80.83,D0002,District_002
District_002,2,257.12,77.76,D0002,District_002
District_002,3,296.21,39.48,D0002,District_002
District_002,4,23.23,40.0,D0002,District_002
District_002,5,303.77,82.87,D0002,District_002
District_002,6,85.26,80.49,D0002,District_002
District_002,7,32.53,56.46,D0002,District_002
District_002,8,474.44,35.42,D0002,District_002
District_002,9,482.82,30.85,D0002,District_002
District_002,10,404.2,50.17,D0002,District_002
District_002,11,152.31,30.65,D0002,District_002
District_002,12,48.84,46.11,D0002,District_002
District_002,13,342.12,59.37,D0002,District_002
District_002,14,220.08,38.5,D0002,District_002
District_002,15,61.02,37.3,D0002,District_002
District_002,16,247.59,92.75,D0002,District_002
District_002,17,17.19,70.98,D0002,District_002
District_002,18,454.66,95.41,D0002,District_002
District_002,19,129.39,54.21,D0002,District_002
District_002,20,331.26,77.4,D0002,District_002
District_002,21,155.86,44.33,D0002,District_002
District_002,22,260.03,73.28,D0002,District_002
District_002,23,273.36,39.07,D0002,District_002
District_002,24,92.43,30.15,D0002,District_002
District_002,25,484.79,95.21,D0002,District_002
District_002,26,387.57,68.84,D0002,District_002
District_003,1,469.75,94.89,D0003,District_003
District_003,2,447.41,53.37,D0003,District_003
District_003,3,298.95,52.95,D0003,District_003
District_003,4,460.94,58.05,D0003,District_003
District_003,5,44.25,79.42,D0003,District_003
District_003,6,97.99,69.61,D0003,District_003
District_003,7,22.61,94.77,D0003,District_003
District_003,8,162.67,31.78,D0003,District_003
District_003,9,194.34,79.57,D0003,District_003
District_003,10,135.67,53.12,D0003,District_003
District_003,11,414.37,42.62,D0003,District_003
District_003,12,178.38,65.73,D0003,District_003
District_003,13,140.47,65.35,D0003,District_003
District_003,14,271.35,39.59,D0003,District_003
District_003,15,70.46,44.13,D0003,District_003
District_003,16,401.1,58.57,D0003,District_003
District_003,17,37.28,58.62,D0003,District_003
District_003,18,493.44,52.23,D0003,District_003
District_003,19,386.12,40.4,D0003,District_003
District_003,20,99.36,30.31,D0003,District_003
District_003,21,2.76,97.92,D0003,District_003
District_003,22,407.73,96.04,D0003,District_003
District_003,23,353.43,63.86,D0003,District_003
District_003,24,364.5,99.65,D0003,District_003
District_003,25,385.64,77.16,D0003,District_003
District_003,26,37.02,34.82,D0003,District_003
District_004,1,179.23,38.24,D0004,District_004
District_004,2,57.93,94.13,D0004,District_004
District_004,3,431.55,74.1,D0004,District_004
District_004,4,311.65,89.02,D0004,District_004
District_004,5,165.45,92.88,D0004,District_004
District_004,6,31.78,61.36,D0004,District_004
District_004,7,155.49,33.4,D0004,District_004
District_004,8,162.59,43.18,D0004,District_004
District_004,9,364.8,34.66,D0004,District_004
District_004,10,318.78,43.21,D0004,District_004
District_004,11,443.61,58.74,D0004,District_004
District_004,12,236.11,38.27,D0004,District_004
District_004,13,59.8,41.67,D0004,District_004
District_004,14,356.62,61.21,D0004,District_004
District_004,15,380.39,53.81,D0004,District_004
District_004,16,280.64,62.74,D0004,District_004
District_004,17,385.48,60.04,D0004,District_004
District_004,18,246.9,75.11,D0004,District_004
District_004,19,261.37,95.6,D0004,District_004
District_004,20,213.77,37.55,D0004,District_004
District_004,21,12.71,36.95,D0004,District_004
District_004,22,53.95,89.7,D0004,District_004
District_004,23,15.71,65.45,D0004,District_004
District_004,24,318.21,83.65,D0004,District_004
District_004,25,157.18,45.08,D0004,District_004
District_004,26,254.29,88.02,D0004,District_004
District_005,1,453.78,94.67,D0005,District_005
District_005,2,124.65,74.48,D0005,District_005
District_005,3,205.19,37.41,D0005,District_005
District_005,4,377.78,92.67,D0005,District_005
District_005,5,114.4,85.47,D0005,District_005
District_005,6,38.49,82.56,D0005,District_005
District_005,7,144.88,32.57,D0005,District_005
District_005,8,80.61,85.93,D0005,District_005
District_005,9,464.85,39.66,D0005,District_005
District_005,10,404.06,45.57,D0005,District_005
District_005,11,316.7,70.4,D0005,District_005
District_005,12,435.73,48.55,D0005,District_005
District_005,13,401.84,76.29,D0005,District_005
District_005,14,93.29,72.56,D0005,District_005
District_005,15,446.28,37.57,D0005,District_005
District_005,16,269.67,75.92,D0005,District_005
District_005,17,403.72,94.68,D0005,District_005
District_005,18,448.05,41.28,D0005,District_005
District_005,19,159.0,71.79,D0005,District_005
District_005,20,55.03,53.93,D0005,District_005
District_005,21,113.97,62.17,D0005,District_005
District_005,22,213.55,50.09,D0005,District_005
District_005,23,409.01,54.79,D0005,District_005
District_005,24,430.37,32.02,D0005,District_005
District_005,25,3.48,98.71,D0005,District_005
District_005,26,255.37,73.74,D0005,District_005
District_006,1,208.71,65.05,D0006,District_006
District_006,2,111.05,56.86,D0006,District_006
District_006,3,59.93,67.76,D0006,District_006
District_006,4,168.81,56.61,D0006,District_006
District_006,5,471.45,55.19,D0006,District_006
District_006,6,161.6,62.48,D0006,District_006
District_006,7,259.4,49.32,D0006,District_006
District_006,8,351.51,42.6,D0006,District_006
District_006,9,181.81,68.96,D0006,District_006
District_006,10,485.89,88.99,D0006,District_006
District_006,11,481.22,40.7,D0006,District_006
District_006,12,125.89,32.29,D0006,District_006
District_006,13,248.62,47.28,D0006,District_006
District_006,14,150.44,98.58,D0006,District_006
District_006,15,142.42,88.01,D0006,District_006
District_006,16,18.44,71.71,D0006,District_006
District_006,17,304.78,95.05,D0006,District_006
District_006,18,251.34,61.17,D0006,District_006
District_006,19,25.74,98.83,D0006,District_006
District_006,20,139.32,50.74,D0006,District_006
