district_code,district_name,week,year,disease,cases_reported,population,incidence_rate,vaccination_coverage,rainfall_mm,humidity,risk_flag
D0001,District_001,1,2025,Malaria,47,4916291,0.009560052,88.42,187.27,90.58,0
D0001,District_001,2,2025,Chikungunya,198,4916291,0.040274264,88.42,475.36,87.57,0
D0001,District_001,3,2025,Dengue,280,4916291,0.056953504,88.42,366,38.62,0
D0001,District_001,4,2025,Malaria,166,4916291,0.033765292,88.42,299.33,56.19,0
D0001,District_001,5,2025,Typhoid,167,4916291,0.033968697,88.42,78.01,76.29,0
D0001,District_001,6,2025,Hepatitis,21,4916291,0.004271513,88.42,78,75.65,0
D0001,District_001,7,2025,Chikungunya,17,4916291,0.003457891,88.42,29.04,90.22,0
D0001,District_001,8,2025,Typhoid,87,4916291,0.017696267,88.42,433.09,39.82,0
D0001,District_001,9,2025,Dengue,101,4916291,0.020543943,88.42,300.56,60.1,0
D0001,District_001,10,2025,Malaria,259,4916291,0.052681991,88.42,354.04,36.81,0
D0001,District_001,11,2025,Swine Flu,57,4916291,0.011594106,88.42,10.29,57.27,0
D0001,District_001,12,2025,Typhoid,12,4916291,0.002440864,88.42,484.95,31.06,0
D0001,District_001,13,2025,Typhoid,293,4916291,0.059597774,88.42,416.22,92.88,0
D0001,District_001,14,2025,Typhoid,67,4916291,0.01362816,88.42,106.17,66.89,0
D0001,District_001,15,2025,Typhoid,26,4916291,0.00528854,88.42,90.91,89.49,0
D0001,District_001,16,2025,Malaria,237,4916291,0.048207073,88.42,91.7,34.19,0
D0001,District_001,17,2025,Malaria,166,4916291,0.033765292,88.42,152.12,45.92,0
D0001,District_001,18,2025,Malaria,60,4916291,0.012204322,88.42,262.38,48.16,0
D0001,District_001,19,2025,Swine Flu,78,4916291,0.015865619,88.42,215.97,57.07,0
D0001,District_001,20,2025,Swine Flu,209,4916291,0.042511723,88.42,145.61,86.2,0
D0001,District_001,21,2025,Malaria,174,4916291,0.035392535,88.42,305.93,57.06,0
D0001,District_001,22,2025,Dengue,222,4916291,0.045155993,88.42,69.75,44.33,0
D0001,District_001,23,2025,Hepatitis,167,4916291,0.033968697,88.42,146.07,34.55,0
D0001,District_001,24,2025,Dengue,84,4916291,0.017086051,88.42,183.18,35.56,0
D0001,District_001,25,2025,Hepatitis,250,4916291,0.050851343,88.42,228.03,83.2,0
D0001,District_001,26,2025,Hepatitis,33,4916291,0.006712377,88.42,392.59,61.14,0
D0002,District_002,1,2025,Hepatitis,287,9147036,0.031376284,92.1,99.84,80.83,0
D0002,District_002,2,2025,Dengue,61,9147036,0.006668827,92.1,257.12,77.76,0
D0002,District_002,3,2025,Typhoid,278,9147036,0.030392359,92.1,296.21,39.48,0
D0002,District_002,4,2025,Dengue,58,9147036,0.006340852,92.1,23.23,40,0
D0002,District_002,5,2025,Typhoid,101,9147036,0.011041828,92.1,303.77,82.87,0
D0002,District_002,6,2025,Chikungunya,281,9147036,0.030720334,92.1,85.26,80.49,0
D0002,District_002,7,2025,Swine Flu,36,9147036,0.003935701,92.1,32.53,56.46,0
D0002,District_002,8,2025,Malaria,167,9147036,0.01825728,92.1,474.44,35.42,0
D0002,District_002,9,2025,Swine Flu,161,9147036,0.01760133,92.1,482.82,30.85,0
D0002,District_002,10,2025,Dengue,266,9147036,0.029080458,92.1,404.2,50.17,0
D0002,District_002,11,2025,Typhoid,103,9147036,0.011260478,92.1,152.31,30.65,0
D0002,District_002,12,2025,Dengue,30,9147036,0.003279751,92.1,48.84,46.11,0
D0002,District_002,13,2025,Hepatitis,105,9147036,0.011479128,92.1,342.12,59.37,0
D0002,District_002,14,2025,Swine Flu,97,9147036,0.010604528,92.1,220.08,38.5,0
D0002,District_002,15,2025,Dengue,54,9147036,0.005903552,92.1,61.02,37.3,0
D0002,District_002,16,2025,Swine Flu,270,9147036,0.029517759,92.1,247.59,92.75,0
D0002,District_002,17,2025,Malaria,88,9147036,0.009620603,92.1,17.19,70.98,0
D0002,District_002,18,2025,Malaria,195,9147036,0.021318381,92.1,454.66,95.41,0
D0002,District_002,19,2025,Swine Flu,132,9147036,0.014430904,92.1,129.39,54.21,0
D0002,District_002,20,2025,Dengue,139,9147036,0.015196179,92.1,331.26,77.4,0
D0002,District_002,21,2025,Hepatitis,50,9147036,0.005466252,92.1,155.86,44.33,0
D0002,District_002,22,2025,Chikungunya,137,9147036,0.014977529,92.1,260.03,73.28,0
D0002,District_002,23,2025,Dengue,299,9147036,0.032688184,92.1,273.36,39.07,0
D0002,District_002,24,2025,Hepatitis,224,9147036,0.024488807,92.1,92.43,30.15,0
D0002,District_002,25,2025,Hepatitis,129,9147036,0.014102929,92.1,484.79,95.21,0
D0002,District_002,26,2025,Hepatitis,208,9147036,0.022739607,92.1,387.57,68.84,0
D0003,District_003,1,2025,Chikungunya,113,7365335,0.01534214,70.69,469.75,94.89,0
D0003,District_003,2,2025,Hepatitis,93,7365335,0.012626717,70.69,447.41,53.37,0
D0003,District_003,3,2025,Malaria,102,7365335,0.013848657,70.69,298.95,52.95,0
D0003,District_003,4,2025,Malaria,161,7365335,0.021859155,70.69,460.94,58.05,0
D0003,District_003,5,2025,Swine Flu,277,7365335,0.037608608,70.69,44.25,79.42,0
D0003,District_003,6,2025,Dengue,170,7365335,0.023081095,70.69,97.99,69.61,0
D0003,District_003,7,2025,Swine Flu,37,7365335,0.005023533,70.69,22.61,94.77,0
D0003,District_003,8,2025,Chikungunya,192,7365335,0.026068061,70.69,162.67,31.78,0
